Sentence,Original emoji,output emoji
i want a physical book bc i really can’t push myself to read on my phone,"['📖', '🤦', '👀']",<pad>
GOODMORNING day 2 here we go,"['🌞', '📅', '🏃']",
You sure say she get danfo money for hand ni,"['👌', '👩', '💰']",
I’m so sick of myself,"['😣', '😷']",
miipan is literally INSANE,"['🔥', '😂']",
Hearing Hatikvah sung strikes pride in every Jewish heart.,"['🎵', '👉', '❤']",
Yeah right little things matter,"['👌', '👍']",
Now playing Self Control by Laura Branigan!,"['🎵', '👉', '👩']",
I’m so chill bruh,['😄'],
Lizzy n Isaac surprised us at hard yesterday 🥺🥺🥺,"['👩', '😍', '📅']",
"Oh, what?",['🤔'],<pad>
I’ll never let go Jack!,"['😍', '👨']",<pad>
in heels up the stairs,"['🙏', '🏃']",<pad>
mO RAN STOP PLS,"['🏃', '❌', '🙏']",
"He's so brave, I'll be a very proud friend he'll have:&gt;","['👨', '👍', '😍']",
Hot bitches sleep with makeup that magically disappears next morning,"['🔥', '👩', '❌', '🌞']",<pad>
omg  a,['😂'],<pad>
I have to shit real bad lol,"['😣', '💩', '👎']",<pad>
he’s in his red era😭❤️,"['👨', '👉', '❤']",
nothing feels the same but when it goes ..... SALT AIR,"['😣', '😢']",
"Sometimes I wish I were a little kid again, skinned knees are easier to fix than broken hearts","['🙏', '👨', '💔']",
Salut 🤡🤡,['👻'],
what’s a very solid place to get piercings in Houston?,"['🤔', '👉', '⛪']",
what’s my brand,['🤔'],<pad>
ya know I think my favorite thing about life is when you ask God for a sign and he gives you exactly what you need,"['😍', '👨', '💬', '🤔', '🙏']",<pad>
Mmmm stockings and arm warmers. These make everyone 10x hotter.,"['👨', '👩', '🔥']",
Oh my,"['😂', '😄', '👍']",<pad>
💀 I really always thought it was “Belks”,['💬'],<pad>
never seen a good looking genderfluid person 🙄,"['❌', '👀', '👍', '👨']",
Drop handles and follow me for quick follow back 👇🔥🏓,"['🏃', '👉', '🔥']",
IM CRYING WHY THE FUCK,"['😢', '🤔', '😣']",
brendon urie queen of k-pop,"['👍', '👩', '🎵']",
"I adore you, my Goddess of Love!! 🙌🏻😻💖🐚","['😍', '👩', '❤']",
I’m glad I went outside last night even though I was tired.,"['🏃', '🌛', '😴']",<pad>
♪You did a good job\nWatching those little screens\nIt warms my servos and circuits\nTo hear some fresh screams♪,"['👍', '📱', '🔥', '❤']",
"Loving, authentic, breathtaking","['❤', '👍']",<pad>
alina attracts weirdos,"['👩', '👉', '🤮']",<pad>
i better get an iced coffee first” - me before doing any menial task,"['🍳', '😴']",
Blake Havard - Wave Goodbye,"['👨', '👋']",
Man of the Match is RADEBE,"['👨', '🔥']",<pad>
2022 crypto gon be crazyyy,"['💰', '🔥', '👍']",
"the doctor's dead, he told me he always hated you","['💀', '👨', '💬', '🤮']",<pad>
I haven’t drove my truck so I didn’t  know if I had gas he woke before he left for work and filled my gas tank up,"['❌', '🚗', '👨', '💼']",<pad>
bruhh this! i never knew how to put it into words lmaoo,"['😣', '📱', '💬']",
bunal reveal pls,['🙏'],<pad>
yeaa. i'm strong. but not all the time.,"['👍', '❌', '⏰']",
Luggage left unattended may be donated to the post-industrial underclass.,"['💼', '👉', '💰', '⛪']",
Obtuse and stupid I think your talking about your own fandom fren,"['👨', '💬']",
"Ugh, this is so good!","['😂', '🥰', '👍']",<pad>
Invest in your Girl because if you go broke it’s her who’ll feed you not your niggas 💯🤷🏽‍♂️,"['💰', '👉', '👩', '💔']",
I'll be back soon ~~Bot,"['⏰', '🏠']",<pad>
Bitch be mad as fuck when a nigga pull out😂,"['👎', '👩', '😡', '👨', '🏃']",
Ummmm find a job but I’ll still take a stimi fuck you talking bout privileged ass how u mad at free money lmao,"['👀', '💼', '😡', '💬', '💰']",<pad>
"It b the weird energy fa me, eww that’s why i keeps my distance from folks !","['🤮', '🤔', '👨']",<pad>
"say what you want about coi, but i been sing that freestyle everyday since i first heard it","['💬', '🎵', '😄']",
Anyway 28 is good age,"['📅', '👍']",
Cue the democratic infighting. Nice job guys.,"['👍', '👨']",<pad>
I can’t sleep in once Im up I’m up,"['❌', '😴', '🔥']",<pad>
those bands on his bicep are gonna explode from there,"['🎵', '🔥']",
Exactly my point,"['👌', '👉', '💬']",
agustus please be nice yah! 🙆‍♀️💖🥰🪄,"['📅', '🙏', '👍', '😄']",
I MISSED SO MUCH WHILE I WAS ASLEEP THSI IS TOO MUCH,"['😍', '😴']",<pad>
Afternoon Ruby!,"['😄', '👨']",
I’ll have a 4 year old in 3 days 😢,"['📅', '😢']",
Try to tell me strong Uranus in your chart doesnt make you look like this 👽,"['💬', '👨', '❌', '🤮']",<pad>
So many pics \nSo much exciting things coming up ✌🏻 I’ve been sworn to secrecy 👀👀,"['🙏', '😍', '👍']",
thinking about how surreal it was when roadtrip dropped oh my god,"['💬', '🚗', '😂']",
Nah man that hurts smh,"['👨', '💔']",
Villa player back in Villa training...  nothing to see here,"['👨', '🎮', '❌', '👀']",
soup time,"['🍳', '⏰']",<pad>
"Damn, Lollapalooza fired Da Baby. Nigga had too much dip on his chip. 🤦🏾‍♀️🤣","['😂', '👩', '🍳']",
I just want a good life,['🙏'],
This Joneser agrees. None of them are to be trusted.,"['👨', '👍', '❌', '👨', '😡']",
A gone girl 🥺♥️,"['⏰', '❌', '👩']",
I love Elena so much because she’ll let me cry it out and then roast me in the same 5 breaths,"['❤', '👩', '👉', '😢']",
sunmi’s allegiance to the moon and misandrist agenda is v pleasing to me!! I will eat it up every time 🤝,"['👩', '💬', '😄', '🍳']",<pad>
nicki must’ve changed her stage name to beyonce cause that’s a whole beyhive.,"['👨', '👉', '🎵']",
Big stepper ! I’m so focused on my life and goals I can’t be touched.,"['👍', '🔥', '👋']",
This nigga be sayin anythingggg,"['👨', '💬']",
Damn it’s my bday tomorrow I’m single 🥺🥺🥺,"['😣', '📅', '😂']",
POV: You just found your twin flame at a festival but your friends are ready to leave.,"['👨', '🎉', '👨', '🏃', '👋']",
"It’s not beria, it’s just shows how i truly care about your existence in my life","['❌', '👉', '❤', '🥰']",
I am winning in life right now,"['👍', '🔥']",
fuck me innocently with a drill press and call me your cumslut,"['😣', '💬', '👉', '👩']",
guys he loved the gift i got him 🥺🥺🥺\n\ni mean ofc he did it was from me hehe,"['👨', '❤', '👉', '👨', '😂']",
In there recording a bible scripture,"['🎵', '⛪']",<pad>
Just go to a thrift store lol,"['🏃', '👉', '⛪', '😄']",
I turn 27 in a week and I am not okay with officially being in my late twenties.,"['📅', '😣', '👎']",
"and blocking is annoying too,,","['❌', '😣', '😡']",
hot choclety Star Wars,"['🔥', '👀']",
Redvelvet did a suprise special vlive and they are complete OT5 forever🥺,"['👨', '🎉', '👍', '⏰']",
The delusion 😵‍💫,"['🤮', '😣', '🤦']",
Maria almost misyarned🤭,"['👩', '🤦']",
Let’s hope today is much better,"['👨', '🙏', '👍']",
And a large iced coffee with cream only…..-a large coke? Wuh..n..naw,['🍳'],
*spends $800 on high quality 4k camera*\n\n*puts filter on video to make it look like it was filmed in the 70s*,"['💰', '👉', '📱']",<pad>
casamigos be having a bitch feeling everything 😂,"['👩', '😂']",
And I cant stop smiling because of him 😭,"['❌', '🏃', '😄', '👉', '👨']",
I thought I was the only one 😭😭,"['😣', '😢', '💔']",<pad>
"How many years are we putting up with this deadwood, what length of contract did Wenger give Elneny ffs","['📅', '👨', '👩', '🤔']",
You people use to pass your boundary on this app. Iya Baba e ni bastard,"['👨', '🏃', '📱', '👻']",<pad>
